Model inputs,,,,,,,,,,,,,,,,,,,,,,
Latitude = 53.15283 deg,,,,,,,,,,,,,,,,,,,,,,
Longitude = 13.02655 deg,,,,,,,,,,,,,,,,,,,,,,
Lake depth = 4.5 m,,,,,,,,,,,,,,,,,,,,,,
Lake fetch = 4000 m,,,,,,,,,,,,,,,,,,,,,,
Extinction coefficient = 0.4,,,,,,,,,,,,,,,,,,,,,,
Initial surface temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial mixed layer thickness = 0 m,,,,,,,,,,,,,,,,,,,,,,
Initial mean temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial bottom temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial ice thickness = 0 m,,,,,,,,,,,,,,,,,,,,,,
Perpetual-year simulation = No,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Results from FLAKE simulations.,,,,,,,,,,,,,,,,,,,,,,
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s),Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),Latent heat flux (W/m2),Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2),surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
14,2017-11-04 12:00,3.36264,3.62649,3.89151,0.00000,9.49437E-05,0.00000,-64.0700,9.15482E-02,4.41135E-02,23.2500,263.949,-328.154,1.00009E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
15,2017-11-04 18:00,3.26087,3.57549,3.89151,0.00000,1.07783E-04,0.00000,-67.9522,7.6688E-02,4.50922E-02,0.00000,259.598,-327.672,1.00001E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
16,2017-11-05 00:00,3.10598,3.49787,3.89151,0.00000,1.06131E-04,0.00000,-66.4558,8.17361E-02,4.67285E-02,0.00000,260.353,-326.938,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
17,2017-11-05 06:00,2.95451,3.42197,3.89151,0.00000,9.40396E-05,0.00000,-60.1598,0.104517,8.61299E-02,148.800,265.871,-326.221,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
18,2017-11-05 12:00,3.10066,3.49521,3.89151,0.00000,6.41381E-05,0.00000,-61.5130,9.99941E-02,8.4319E-02,9.30000,265.215,-326.912,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
19,2017-11-05 18:00,2.97817,3.43382,3.89151,0.00000,9.26505E-05,0.00000,-66.6646,8.04801E-02,4.92769E-02,0.00000,259.539,-326.333,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
20,2017-11-06 00:00,2.82622,3.35768,3.89151,0.00000,8.9801E-05,0.00000,-68.7579,7.1982E-02,5.21466E-02,0.00000,256.733,-325.615,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
21,2017-11-06 06:00,2.66950,3.27915,3.89151,0.00000,8.84289E-05,0.00000,-68.2170,7.35947E-02,1.70943E-02,160.425,256.569,-324.876,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
22,2017-11-06 12:00,2.81940,3.35426,3.89151,0.00000,7.80103E-05,0.00000,-68.3219,7.37626E-02,1.58967E-02,30.2250,257.172,-325.583,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
23,2017-11-06 18:00,2.72121,3.30506,3.89151,0.00000,6.62982E-05,0.00000,-75.3572,4.63962E-02,1.79837E-02,0.00000,249.698,-325.120,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
24,2017-11-07 00:00,2.54944,3.21898,3.89151,0.00000,3.71202E-05,0.00000,-77.4860,3.73549E-02,2.03901E-02,0.00000,246.767,-324.311,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
25,2017-11-07 06:00,2.37281,3.13047,3.89151,0.00000,5.53542E-05,0.00000,-69.9129,6.49616E-02,2.24336E-02,202.275,253.480,-323.481,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
26,2017-11-07 12:00,2.59852,3.24358,3.89151,0.00000,8.07215E-05,0.00000,-69.4154,6.87537E-02,1.914E-02,23.2500,255.039,-324.542,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
27,2017-11-07 18:00,2.48455,3.18647,3.89151,0.00000,9.15067E-05,0.00000,-69.5090,6.78914E-02,2.03669E-02,0.00000,254.409,-324.006,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
28,2017-11-08 00:00,2.32612,3.10708,3.89151,0.00000,8.85297E-05,0.00000,-70.6395,6.278E-02,6.0458E-02,0.00000,252.499,-323.262,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
29,2017-11-08 06:00,2.16511,3.02639,3.89151,0.00000,9.13038E-05,0.00000,-67.3833,7.48584E-02,2.40996E-02,125.550,255.024,-322.506,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
30,2017-11-08 12:00,2.25052,3.06919,3.89151,0.00000,7.95715E-05,0.00000,-67.7407,7.37542E-02,2.29629E-02,16.2750,255.069,-322.907,1E-02,0.500000,3.00000,4.00000,-3.94901E-02,0.00000,0.00000,0.00000,0.00000
